Timestamp,Value
2023-08-08 21:51:41.774,50
2023-08-08 21:51:42.851,50
2023-08-08 21:51:43.793,50
2023-08-08 21:51:44.731,51
2023-08-08 21:51:45.714,52
2023-08-08 21:51:47.013,52
2023-08-08 21:51:48.295,52
2023-08-08 21:51:49.531,52
2023-08-08 21:51:50.773,52
2023-08-08 21:51:52.034,52
2023-08-08 21:51:53.234,52
2023-08-08 21:51:54.414,51
2023-08-08 21:51:55.552,51
2023-08-08 21:51:56.654,50
2023-08-08 21:51:57.674,50
2023-08-08 21:51:58.612,51
2023-08-08 21:51:59.533,53
2023-08-08 21:52:00.672,53
2023-08-08 21:52:02.052,53
2023-08-08 21:52:03.412,52
2023-08-08 21:52:04.715,52
2023-08-08 21:52:05.993,51
2023-08-08 21:52:07.234,51
2023-08-08 21:52:08.413,51
2023-08-08 21:52:09.572,50
2023-08-08 21:52:10.736,49
2023-08-08 21:52:11.792,48
2023-08-08 21:52:12.796,49
2023-08-08 21:52:13.775,51
2023-08-08 21:52:14.815,52
2023-08-08 21:52:16.056,52
2023-08-08 21:52:17.334,52
2023-08-08 21:52:18.632,52
2023-08-08 21:52:19.915,52
2023-08-08 21:52:21.135,51
2023-08-08 21:52:22.335,51
2023-08-08 21:52:23.556,51
2023-08-08 21:52:24.735,50
2023-08-08 21:52:25.874,49
2023-08-08 21:52:27.033,49
2023-08-08 21:52:28.135,49
2023-08-08 21:52:29.175,50
2023-08-08 21:52:30.133,52
2023-08-08 21:52:31.055,53
2023-08-08 21:52:32.034,55
2023-08-08 21:52:33.337,54
2023-08-08 21:52:34.696,53
2023-08-08 21:52:36.056,53
2023-08-08 21:52:37.375,52
2023-08-08 21:52:38.637,51
2023-08-08 21:52:39.873,51
2023-08-08 21:52:41.094,50
2023-08-08 21:52:42.315,49
2023-08-08 21:52:43.515,48
2023-08-08 21:52:44.534,48
2023-08-08 21:52:45.518,49
2023-08-08 21:52:46.517,50
2023-08-08 21:52:47.696,51
2023-08-08 21:52:48.995,51
2023-08-08 21:52:50.297,51
2023-08-08 21:52:51.534,51
2023-08-08 21:52:52.714,51
2023-08-08 21:52:53.877,51
2023-08-08 21:52:55.016,52
2023-08-08 21:52:56.138,51
2023-08-08 21:52:57.338,50
2023-08-08 21:52:58.415,50
2023-08-08 21:52:59.398,51
2023-08-08 21:53:00.377,52
2023-08-08 21:53:01.438,53
2023-08-08 21:53:02.675,53
2023-08-08 21:53:03.977,53
2023-08-08 21:53:05.255,52
2023-08-08 21:53:06.517,52
2023-08-08 21:53:07.758,51
2023-08-08 21:53:08.917,51
2023-08-08 21:53:10.096,51
2023-08-08 21:53:11.096,51
2023-08-08 21:53:12.018,51
2023-08-08 21:53:12.955,52
2023-08-08 21:53:14.016,52
2023-08-08 21:53:15.257,53
2023-08-08 21:53:16.535,53
2023-08-08 21:53:17.797,53
2023-08-08 21:53:19.038,53
2023-08-08 21:53:20.217,53
2023-08-08 21:53:21.377,53
2023-08-08 21:53:22.519,52
2023-08-08 21:53:23.617,51
2023-08-08 21:53:24.698,51
2023-08-08 21:53:25.636,51
2023-08-08 21:53:26.537,53
2023-08-08 21:53:27.418,55
2023-08-08 21:53:28.360,56
2023-08-08 21:53:29.576,56
2023-08-08 21:53:30.858,56
2023-08-08 21:53:32.157,55
2023-08-08 21:53:33.398,55
2023-08-08 21:53:34.618,54
2023-08-08 21:53:35.778,54
2023-08-08 21:53:36.879,53
2023-08-08 21:53:37.956,52
2023-08-08 21:53:39.038,51
