Timestamp,Value
2024-01-12 22:53:32.372,504
2024-01-12 22:53:32.380,507
2024-01-12 22:53:32.392,509
2024-01-12 22:53:32.401,510
2024-01-12 22:53:32.413,511
2024-01-12 22:53:32.421,510
2024-01-12 22:53:32.433,509
2024-01-12 22:53:32.442,507
2024-01-12 22:53:32.454,505
2024-01-12 22:53:32.462,503
2024-01-12 22:53:32.474,502
2024-01-12 22:53:32.483,501
2024-01-12 22:53:32.495,499
2024-01-12 22:53:32.503,497
2024-01-12 22:53:32.515,496
2024-01-12 22:53:32.524,495
2024-01-12 22:53:32.536,494
2024-01-12 22:53:32.544,493
2024-01-12 22:53:32.556,492
2024-01-12 22:53:32.565,494
2024-01-12 22:53:32.577,493
2024-01-12 22:53:32.585,494
2024-01-12 22:53:32.597,495
2024-01-12 22:53:32.606,498
2024-01-12 22:53:32.618,504
2024-01-12 22:53:32.626,513
2024-01-12 22:53:32.638,524
2024-01-12 22:53:32.646,536
2024-01-12 22:53:32.659,550
2024-01-12 22:53:32.667,563
2024-01-12 22:53:32.679,574
2024-01-12 22:53:32.687,582
2024-01-12 22:53:32.700,577
2024-01-12 22:53:32.708,582
2024-01-12 22:53:32.720,571
2024-01-12 22:53:32.728,572
2024-01-12 22:53:32.741,568
2024-01-12 22:53:32.749,561
2024-01-12 22:53:32.761,552
2024-01-12 22:53:32.769,544
2024-01-12 22:53:32.782,534
2024-01-12 22:53:32.790,526
2024-01-12 22:53:32.802,519
2024-01-12 22:53:32.810,513
2024-01-12 22:53:32.823,506
2024-01-12 22:53:32.831,499
2024-01-12 22:53:32.843,494
2024-01-12 22:53:32.851,489
2024-01-12 22:53:32.864,485
2024-01-12 22:53:32.872,482
2024-01-12 22:53:32.884,479
2024-01-12 22:53:32.892,476
2024-01-12 22:53:32.905,475
2024-01-12 22:53:32.913,476
2024-01-12 22:53:32.925,476
2024-01-12 22:53:32.933,478
2024-01-12 22:53:32.945,481
2024-01-12 22:53:32.954,484
2024-01-12 22:53:32.966,488
2024-01-12 22:53:32.978,491
2024-01-12 22:53:32.987,495
2024-01-12 22:53:32.999,497
2024-01-12 22:53:33.007,500
2024-01-12 22:53:33.019,502
2024-01-12 22:53:33.027,504
2024-01-12 22:53:33.040,504
2024-01-12 22:53:33.048,504
2024-01-12 22:53:33.060,503
2024-01-12 22:53:33.068,502
2024-01-12 22:53:33.081,501
2024-01-12 22:53:33.089,500
2024-01-12 22:53:33.101,499
2024-01-12 22:53:33.109,498
2024-01-12 22:53:33.122,496
2024-01-12 22:53:33.130,496
2024-01-12 22:53:33.142,495
2024-01-12 22:53:33.150,494
2024-01-12 22:53:33.163,493
2024-01-12 22:53:33.171,493
2024-01-12 22:53:33.183,493
2024-01-12 22:53:33.191,494
2024-01-12 22:53:33.204,496
2024-01-12 22:53:33.212,500
2024-01-12 22:53:33.224,507
2024-01-12 22:53:33.232,516
2024-01-12 22:53:33.244,529
2024-01-12 22:53:33.253,543
2024-01-12 22:53:33.265,556
2024-01-12 22:53:33.273,569
2024-01-12 22:53:33.285,579
2024-01-12 22:53:33.294,585
2024-01-12 22:53:33.306,578
2024-01-12 22:53:33.314,581
2024-01-12 22:53:33.326,572
2024-01-12 22:53:33.335,571
2024-01-12 22:53:33.347,565
2024-01-12 22:53:33.355,556
2024-01-12 22:53:33.367,548
